name,ring,quadrant,isNew,description,Comments,2021 Ring,2021 is New,quadrant_detail,New in 2022,CNCF Radar,BK Version ,BK Comments,,
Ansible,Scale,Cloud Infrastructure,FALSE,,,,,Infrastructure,Ansible,,YES,,,
.NetCoreVB.Net,Master,Cloud Native Engineering,FALSE,"AWS IoT Greengrass is an Internet of Things (IoT) open source edge runtime and cloud service that helps you build, deploy, and manage device software.",,Explore,TRUE,Development,.NetCoreVB.Net,,YES,,,
AlibabaCloudLogService,Invest,Observability & Beyond,TRUE,Datadog offers monitoring and analytics for cloud-based workflows.,,,,Logging,#N/A,,NO ,not sure we have to show capablility on Alibaba,,
Activiti,Explore,Cloud Native Engineering,FALSE,,,Explore,FALSE,Development,Activiti,,,,,
APIGateway-Apigee,Scale,Cloud Infrastructure,FALSE,Todo,,Master,FALSE,Platform Services,APIGateway-Apigee,,YES,,,
AmazonECSAnywhere,Explore,Cloud Infrastructure,FALSE,,,,,Multi-Cloud,AmazonECSAnywhere,,,,,
AmazonEKSAnywhere,Explore,Cloud Infrastructure,FALSE,,,,,Multi-Cloud,AmazonEKSAnywhere,,,,,
AmazonElasticBlockStore(EBS),Master,Cloud Infrastructure,TRUE,,,,,Runtime,#N/A,,YES,,,
AmazonKinesis,Invest,Composability,FALSE,,,,,Streaming & Messaging,AmazonKinesis,,YES,,,
AmazonXRay,Invest,Observability & Beyond,TRUE,,,,,Tracing,#N/A,,YES,,,
AWSCloudFormation,Scale,Cloud Infrastructure,TRUE,,,,,Provisiong ,#N/A,,YES,,,
AzureFunctions,Scale,Cloud Infrastructure,TRUE,,,,,Serverless,#N/A,,YES,,,
ApacheHadoop,Invest,Cloud Native Engineering,TRUE,,,,,App Data,#N/A,,YES,,,
ApacheLibcloud,Explore,Cloud Infrastructure,FALSE,,,Explore,TRUE,Platform Services,ApacheLibcloud,,NO,no support,,
ApacheMesos,Explore,Composability,FALSE,Todo,,Explore,TRUE,Orchestration & Management,ApacheMesos,,NO ,no support,,
ApacheSpark,Invest,Composability,TRUE,,,,,Streaming & Messaging,#N/A,,YES,,,
ApacheStorm,Invest,Composability,TRUE,,,,,Streaming & Messaging,#N/A,,YES,,,
APIGateway-3Scale-Redhat,Master,Cloud Infrastructure,TRUE,Todo,,Master,FALSE,Platform Services,#N/A,,YES,,,
AzureSpotVMs,Master,Cloud Infrastructure,FALSE,,,,,Infrastructure,AzureSpotVMs,,YES,,,
AppDynamics,Invest,Observability & Beyond,TRUE,The central source of truth for all IT infrastructure insights. Providing one central platform that uniquely combines technical and financial metrics to manage and optimize modern containerized IT infrastructure stacks successfully.,,,,Monitoring,#N/A,,YES,,,
ApplicationHighAvailabilityServiceAlibaba,Explore,Observability & Beyond,TRUE,"Scalable datastore for metrics, events, and real-time analytics",,,,Monitoring,#N/A,,NO, no focus on Alibaba,,
Appvia,Invest,Cloud Infrastructure,FALSE,,,,,Multi-Cloud,Appvia,,YES,,,
ArgoCD,Explore,Cloud Native Engineering,FALSE,,,,,CI CD,ArgoCD,ASSESS,NO,No IOT focus,,
AROAzureRedHatOpenShift,Invest,Cloud Infrastructure,FALSE,,,,,Infrastructure,AROAzureRedHatOpenShift,,YES,,,
AtlassianBitbucket,Master,Cloud Native Engineering,FALSE,,,,,CICD,AtlassianBitbucket,,YES,,,
AWSAppMesh,Invest,Composability,FALSE,,,Invest,TRUE,Orchestration & Management,AWSAppMesh,,YES,,,
AwsAurora,Invest,Cloud Native Engineering,FALSE,,,,,Managed Services,AwsAurora,TRIAL,YES,,,
AWSCloudMap,Invest,Composability,FALSE,,,Invest,TRUE,Orchestration & Management,AWSCloudMap,,YES,,,
EC2SpotInstances,Scale,Cloud Infrastructure,FALSE,,,,,Infrastructure,EC2SpotInstances,,NO,This is very common ,,
AWSCodePipeline,Invest,Cloud Native Engineering,TRUE,,,,,CI CD,#N/A,,YES,,,
AWSDocumentDB,Invest,Cloud Infrastructure,FALSE,,,Invest,FALSE,Platform Services,AWSDocumentDB,,YES,,,
AWSDynamoDB,Invest,Cloud Native Engineering,FALSE,,,Master,FALSE,Platform Services,AWSDynamoDB,TRIAL,YES,,,
AWSECS,Scale,Composability,FALSE,"Container as Service, Vendor lock-in",,Master,FALSE,Orchestration & Management,AWSECS,,YES,,,
ElasticSearch,Scale,Observability & Beyond,FALSE,,,,,Managed Services,ElasticSearch,ADOPT,YES,,,
AWSEMR,Invest,Cloud Infrastructure,FALSE,Elastic Map Reduce (Spark Jobs at Scale),,Invest,FALSE,Platform Services,AWSEMR,,YES,,,
Kibana,Scale,Observability & Beyond,TRUE,Todo,,Master,FALSE,Platform Services,#N/A,ADOPT,NO,This is just a stack ,,
AWSGlue,Invest,Cloud Infrastructure,FALSE,,,Master,FALSE,Platform Services,AWSGlue,,YES,,,
AWSIoTCore,Invest,Cloud Infrastructure,FALSE,,,Explore,TRUE,Platform Services,AWSIoTCore,,NO,No IOT focus,,
AWSIoTDeviceDefender,Explore,Cloud Infrastructure,FALSE,,,Explore,TRUE,Platform Services,AWSIoTDeviceDefender,,NO,No IOT focus,,
AWSIoTDeviceManagement,Explore,Cloud Infrastructure,FALSE,,,Explore,TRUE,Platform Services,AWSIoTDeviceManagement,,NO,No IOT focus,,
AWSIoTEvents,Explore,Cloud Infrastructure,FALSE,,,Explore,TRUE,Platform Services,AWSIoTEvents,,NO,No IOT focus,,
AWSIoTSiteWise,Explore,Cloud Infrastructure,FALSE,,,Explore,TRUE,Platform Services,AWSIoTSiteWise,,NO,No IOT focus,,
AWSKinesis/Firehose,Master,Cloud Infrastructure,FALSE,Todo,,Master,FALSE,Platform Services,AWSKinesis/Firehose,,YES,,,
AWSLambda,Master,Cloud Infrastructure,TRUE,,,,,Serverless,#N/A,,YES,,,
AWSManagedAirflow,Invest,Cloud Infrastructure,FALSE,Orchestration,,Invest,FALSE,Platform Services,AWSManagedAirflow,,YES,,,
AWSNitroEnclaves,Explore,Cloud Infrastructure,FALSE,,,,,Infrastructure,AWSNitroEnclaves,,YES,,,
AWSOpsWorks,Invest,Cloud Infrastructure,FALSE,,,,,Infrastructure,AWSOpsWorks,,YES,,,
AWSProton,Invest,Cloud Infrastructure,FALSE,,,,,Infrastructure,AWSProton,,YES,,,
AWSRedShift,Master,Cloud Infrastructure,FALSE,Columnar DB,,Invest,FALSE,Platform Services,AWSRedShift,,YES,,,
AWSSavingsPlan,Explore,Cloud Infrastructure,FALSE,,,,,Infrastructure,AWSSavingsPlan,,YES,,,
AWSStepFunctions,Invest,Cloud Infrastructure,FALSE,Orchestration,,Master,TRUE,Platform Services,AWSStepFunctions,,YES,,,
AzureAPIManagement,Master,Composability,FALSE,,,Master,TRUE,Orchestration & Management,AzureAPIManagement,,YES,,,
AzureApplicationInsights,Invest,Cloud Infrastructure,FALSE,,,Invest,FALSE,Platform Services,AzureApplicationInsights,,YES,,,
AzureArc,Explore,Cloud Infrastructure,FALSE,,,,,Multi-Cloud,AzureArc,,YES,,,
AzureAutomation,Invest,Cloud Infrastructure,FALSE,,,,,Infrastructure,AzureAutomation,,YES,,,
AzureConfidentialComputing,Explore,Cloud Infrastructure,FALSE,,,,,Infrastructure,AzureConfidentialComputing,,YES,,,
AzureDiskStorage,Master,Cloud Infrastructure,TRUE,,,,,Runtime,#N/A,,YES,,,
AzureEventHubs,Invest,Composability,TRUE,,,,,Streaming & Messaging,#N/A,,YES,,,
ManagedOracleDB,Scale,Cloud Infrastructure,FALSE,,,,,Managed Services,ManagedOracleDB,,YES,,,
AzureHybridBenefit,Invest,Cloud Infrastructure,FALSE,,,,,Infrastructure,AzureHybridBenefit,,YES,,,
AzureIoThub,Explore,Cloud Infrastructure,FALSE,,,Explore,FALSE,Platform Services,AzureIoThub,,YES,,,
ManagedSQLServer,Scale,Cloud Infrastructure,FALSE,,,,,Managed Services,ManagedSQLServer,,YES,,,
MicrosoftAzurelogicapps,Scale,Cloud Infrastructure,FALSE,,,Scale,FALSE,Platform Services,MicrosoftAzurelogicapps,,YES,,,
AzurePipelines,Master,Cloud Native Engineering,TRUE,,,,,CI CD,#N/A,,YES,,,
AzureReservations,Invest,Cloud Infrastructure,FALSE,,,,,Infrastructure,AzureReservations,,YES,,,
AzureResourceManager,Invest,Cloud Infrastructure,FALSE,,,,,Infrastructure,AzureResourceManager,,YES,,,
